D_ue_E1_OK_distance_sn9,2.29
D_ue_E1_OK_distance_sn8,6.652
D_ue_E1_OK_distance_ew12,34.037
D_ue_E0_OK_distance_sn8,6.652
D_ue_E0_OK_distance_ew7,3.777
D_ue_E1_OK_distance_sn19,6.105
D_ue_E0_OK_distance_ew29,34.337
D_ue_U1_OK_distance_ew7,3.777
D_ue_U1_OK_distance_ew34,30.029
D_ue_E0_OK_distance_ew10,8.187
D_ue_U1_OK_distance_sn10,2.29
D_ue_E0_OK_distance_sn18,11.095
D_ue_E1_OK_distance_sn1,4.405
D_ue_E0_OK_distance_sn9,2.29
D_ue_E0_OK_distance_sn17,6.105
D_ue_E1_OK_distance_sn22,2.05
D_ue_U1_OK_distance_sn19,6.105
D_ue_U1_OK_distance_sn20,11.095
D_ue_E0_OK_distance_sn10,4.92
D_ue_E1_OK_distance_sn24,13.475
D_ue_E1_OK_distance_ew7,8.187
D_ue_E1_OK_distance_sn20,11.095
D_ue_E1_OK_distance_ew13,18.987
D_ue_U1_OK_distance_ew9,8.187
D_ue_U1_OK_distance_ew19,18.987
D_ue_E0_OK_distance_sn21,2.05
D_ue_E0_OK_distance_ew15,34.037
D_ue_E0_OK_distance_ew0,30.029
D_ue_E0_OK_distance_ew16,18.994
D_ue_E0_OK_distance_ew6,2.759
D_ue_E1_OK_distance_sn10,4.92
D_ue_U1_OK_distance_ew6,2.759
D_ue_U1_OK_distance_sn1,4.405
D_ue_E1_OK_distance_ew30,30.029
D_ue_U1_OK_distance_sn23,2.05
D_ue_E0_OK_distance_sn23,13.475
D_ue_E0_OK_distance_sn1,4.42
D_ue_E1_OK_distance_ew25,34.337
D_ue_E1_OK_distance_sn23,10.725
D_ue_E1_OK_distance_ew5,3.777
D_ue_U1_OK_distance_sn11,4.92
D_ue_E1_OK_distance_ew4,2.759
D_ue_E1_OK_distance_sn25,15.575
D_ue_E0_OK_distance_sn22,10.725
D_ue_E0_OK_distance_sn24,15.575
